0,357282,---,Provide fading feedback for large screen operations,enhancement
1,360065,---,NPE in dndaddon.DnDManager,normal
0,361580,---,The Contributed part renderer's 'getUIContainer' can throw a CCE for a part contained in a sash Container,normal
0,365607,---,IllegalArgumentException in PartRenderingEngine,normal
1,370615,---,Support dynamic tracing for e4 workbench,normal
1,389478,---,Need IDE.openEditors(...) that allows to inject state,enhancement
0,389920,---,perspective overlays portion of Welcome page after installing EGit,normal
3,374017,---,Enable refresh even when selection has closed projects,normal
0,153761,---,[Mac] Investigate API for contributing to the application menu,enhancement
1,222877,---,[BiDi][GTK] Text entry field in Combo is not right aligned with SWT.RIGHT_TO_LEFT,normal
0,333742,---,[Compatibility] MoDisco needs to run on Eclipse 4.x,normal
0,334303,---,[Compatibility] Web Tools Platform needs to run on Eclipse 4.x,normal
3,350251,---,Strategy for porting useful org.eclipse.ui.* bits for Eclipse4 RCP apps,normal
1,366534,---,[Compatibility] Failures in UIAutomatedSuite,normal
1,366571,---,[Compatibility] editor and view action delegates are not properly scoped,normal
3,366635,---,[Tests] DynamicPluginsTestSuite has failures,normal
3,414743,---,[Contributions] Seperator in own Toolbar are not rendered,normal
1,28722,---,[EditorMgmt] tabs: Split tabs in editor into several lines,enhancement
0,164372,---,[OpenModes] OpenStrategy not working properly for the Expand-Event,normal
0,168379,---,[EditorMgmt] Investigate possible editor tab management improvements,normal
0,170205,---,[WorkingSets] NPE in org.eclipse.ui.XMLMemento.getChildren(XMLMemento.java:235),normal
2,178229,---,[Dialogs] [EditorMgmt] Open Resource dialog should not fully create all editors,normal
1,183458,---,[Progress] Need to have UIJobs wait until workbench has started,enhancement
1,201589,---,[Contributions] visibleWhen has no effect on toolbar,normal
0,209873,---,"[Workbench] [Incubator] Support dependency injection for contributed views, editors, etc",normal
0,231314,---,[Themes] ColorRegistry is not sharing Color resources,normal
0,236416,---,[ActivityMgmt] Capabilities are not correctly adding their new project wizards to the main menu if added to an existing installation,normal
0,242246,---,[Commands] HandlerUtil.getActivePart() returns null when a dialog is opened.,normal
0,244364,---,[MPE] [EditorMgmt] Implement a split editor based on AbstractMultiEditor,enhancement
1,248561,---,[Progress] Accessibility: Text changes in progress dialogs are not read by screen readers,normal
1,263820,---,[Commands] [UI] Handlers seems to resolve their URIs early,normal
1,267851,---,[GlobalActions] Copy refactoring is not triggered in Project Explorer,normal
0,269271,---,[Workbench] [Compatibility] URISyntaxException  when workspace loc has space,normal
0,271613,---,[ActivityMgmt] Preference-pages and activities,normal
0,275923,---,[Wizards] NPE in WizardDialog's updateButtons(),normal
2,278647,---,[KeyBindings] Remove Keys..Export,minor
0,279631,---,[ViewMgmt] [Compatibility] View toolbar clips folder tab,normal
0,283930,---,[Workbench] [Compatibility] Dirty state tracking causes SWTExceptions when editing in with multiple workbench windows,normal
0,284387,---,"[Contributions] [Compatibility] pagesite (Outline, Synchronize) actionbar contributions only show up once",normal
0,284413,---,[Model] [Compatibility] Create a model instance wizard,normal
0,284439,---,[Workbench] [Compatibility] NPE in FormOutlinePage during delete,normal
0,290008,---,[DnD] Enhance drag and drop to automatically surface the view/editor if hidden in a tab,enhancement
3,301687,---,[Import/Export] Overwriting Files with Export feature,critical
2,308642,---,[Commands] [Compatibility] command executed in closed XML view,major
3,308689,---,[Dialogs] FilteredItemsSelectionDialog ignores single asterisk (*),normal
0,309248,---,[Workbench] [Compatibility] Unsaved changes dialog needs polish,normal
0,309807,---,[Workbench] [Compatibility] SelectionServiceImpl throws NPE in @PD if the window has perspectives,normal
1,310139,---,[Perspectives] [Compatibility] synchronizing switches perspectives,normal
1,314159,---,[CSS] part can be sized so small that text does not show and chevron dangles to left,normal
0,314463,---,[EditorMgmt] [Compatibility] Cannot reopen one editor - NPE in PartServiceImpl,normal
0,316072,---,[Commands] [Compatibility] clicking on a method in the editor threw an exception,normal
1,316470,---,[Contributions] [Compatibility] e4 story for dealing with custom IContributionItem implementations,normal
1,316515,---,[RenderingEngine] [Compatibility] IPresentationEngine.stop called twice,normal
0,317379,---,[DetachedView] [Presentations] All detached views pop up when user clicks on only one of the detached views or main window,enhancement
2,317465,---,Implement context menu equivalents for 3.x context menus on Views/Editors/Perspectives (in the switcher),normal
0,318218,---,[Perspectives] [Compatibility] trying to close the Java perspective throws NPEs,normal
1,318224,---,[Decorators] Decoration context should specify decoration area in image (was: Model-based synchronize view shows decorations at unexpected location),normal
