3,3,1,,4,,,34,https://bugs.eclipse.org/bugs/show_bug.cgi?id=37478,37478,"[Import/Export] Add ""Import  As Project"" option to the Import Wizard"
0,4,1,,4,,,34,https://bugs.eclipse.org/bugs/show_bug.cgi?id=421425,421425,[Workbench] ESelectionService doesn't work correctly if the active IEclipseContext is a child of the parts context
1,4,0,,4,,,34,https://bugs.eclipse.org/bugs/show_bug.cgi?id=269271,269271,[Workbench] [Compatibility] URISyntaxException  when workspace loc has space
0,4,1,,4,,,34,https://bugs.eclipse.org/bugs/show_bug.cgi?id=374132,374132,[Workbench] [Compatibility][api] IWorkbenchPage's showEditor(*) and hideEditor(*) methods are unimplemented
3,3,4,,,,,32,https://bugs.eclipse.org/bugs/show_bug.cgi?id=391145,391145,"[Compatibility] NPE with a custom editor opened using Project Explorer on first file, subsequent files are ok"
3,4,3,,,,,32,https://bugs.eclipse.org/bugs/show_bug.cgi?id=436863,436863,Splitting a compare editor fills the log
3,4,3,,,,,32,https://bugs.eclipse.org/bugs/show_bug.cgi?id=433809,433809,[Contributions] Reconfigure and Autotools submenu items disabled
4,2,2,,3,,,32,https://bugs.eclipse.org/bugs/show_bug.cgi?id=436247,436247,"[Themes] ""Colors and Fonts"" pref page fails with NPE when running with '-cssTheme none'"
2,4,2,,3,,,32,https://bugs.eclipse.org/bugs/show_bug.cgi?id=434506,434506,Events missing from startup parts creation
2,4,2,,3,,,32,https://bugs.eclipse.org/bugs/show_bug.cgi?id=372523,372523,[Workbench] Rework Workbench startup so it doesn't use LegacyIDE.e4xmi
0,,0,,5,,,32,https://bugs.eclipse.org/bugs/show_bug.cgi?id=435191,435191,[JFace] org.eclipse.jface.window.ToolTip flicker
0,,0,,5,,,32,https://bugs.eclipse.org/bugs/show_bug.cgi?id=389920,389920,perspective overlays portion of Welcome page after installing EGit
0,4,0,,4,,,32,https://bugs.eclipse.org/bugs/show_bug.cgi?id=372799,372799,[Workbench] [GlobalActions] ViewPart cannot adapt ISaveablePart any longer but must implement it.
4,,4,,,,,32,https://bugs.eclipse.org/bugs/show_bug.cgi?id=380663,380663,Starting an old 4.2 workspace with a new build resets the perspectives
4,4,0,,,,,32,https://bugs.eclipse.org/bugs/show_bug.cgi?id=392715,392715,Make existing 3.x components available for a pure e4 application
3,2,2,,4,,,32,https://bugs.eclipse.org/bugs/show_bug.cgi?id=399659,399659,[KeyBindings] Updating a keybinding causes CCE
3,4,2,,2,,,32,https://bugs.eclipse.org/bugs/show_bug.cgi?id=410087,410087,[Contributions] DirectToolItem does not evaluate @CanExecute
